45.0000 5896.82284000 0.91479000
45.0000 5926.30696000 0.90924000
45.0000 5955.93849000 0.90373000
45.0000 5985.71818000 0.89826000
45.0000 6015.64678000 0.89282000
45.0000 6045.72501000 0.88741000
45.0000 6075.95363000 0.88203000
45.0000 6106.33340000 0.87667000
45.0000 6136.86507000 0.87132000
45.0000 6167.54940000 0.86599000
45.0000 6198.38714000 0.86067000
45.0000 6229.37908000 0.85535000
45.0000 6260.52597000 0.85004000
45.0000 6291.82860000 0.84473000
45.0000 6323.28775000 0.83941000
45.0000 6354.90418000 0.83409000
45.0000 6386.67871000 0.82876000
45.0000 6418.61210000 0.82342000
45.0000 6450.70516000 0.81806000
45.0000 6482.95869000 0.81268000
45.0000 6515.37348000 0.80728000
45.0000 6547.95035000 0.80186000
45.0000 6580.69010000 0.79642000
45.0000 6613.59355000 0.79095000
45.0000 6646.66152000 0.78545000
45.0000 6679.89482000 0.77991000
45.0000 6713.29430000 0.77435000
45.0000 6746.86077000 0.76876000
45.0000 6780.59507000 0.76312000
45.0000 6814.49805000 0.75746000
45.0000 6848.57054000 0.75176000
45.0000 6882.81339000 0.74602000
45.0000 6917.22746000 0.74024000
45.0000 6951.81360000 0.73442000
45.0000 6986.57266000 0.72857000
45.0000 7021.50553000 0.72268000
45.0000 7056.61305000 0.71676000
45.0000 7091.89612000 0.71079000
45.0000 7127.35560000 0.70479000
45.0000 7162.99238000 0.69876000
45.0000 7198.80734000 0.69269000
45.0000 7234.80138000 0.68658000
45.0000 7270.97538000 0.68045000
45.0000 7307.33026000 0.67429000
45.0000 7343.86691000 0.66809000
45.0000 7380.58625000 0.66188000
45.0000 7417.48918000 0.65564000
45.0000 7454.57662000 0.64937000
45.0000 7491.84951000 0.64309000
45.0000 7529.30875000 0.63680000
45.0000 7566.95530000 0.63049000
45.0000 7604.79008000 0.62417000
45.0000 7642.81403000 0.61785000
45.0000 7681.02810000 0.61152000
45.0000 7719.43324000 0.60520000
45.0000 7758.03040000 0.59887000
45.0000 7796.82055000 0.59256000
45.0000 7835.80466000 0.58627000
45.0000 7874.98368000 0.57999000
45.0000 7914.35860000 0.57373000
45.0000 7953.93039000 0.56750000
45.0000 7993.70004000 0.56130000
45.0000 8033.66854000 0.55514000
45.0000 8073.83689000 0.54902000
45.0000 8114.20607000 0.54295000
45.0000 8154.77710000 0.53693000
45.0000 8195.55099000 0.53097000
45.0000 8236.52874000 0.52508000
45.0000 8277.71139000 0.51925000
45.0000 8319.09994000 0.51351000
45.0000 8360.69544000 0.50784000
45.0000 8402.49892000 0.50227000
45.0000 8444.51141000 0.49679000
45.0000 8486.73397000 0.49141000
45.0000 8529.16764000 0.48614000
45.0000 8571.81348000 0.48099000
45.0000 8614.67255000 0.47596000
45.0000 8657.74591000 0.47106000
48.0000 3273.57875000 1.83613000
48.0000 3289.94665000 1.82530000
48.0000 3306.39638000 1.81493000
48.0000 3322.92836000 1.80500000
48.0000 3339.54300000 1.79552000
48.0000 3356.24072000 1.78648000
48.0000 3373.02192000 1.77785000
48.0000 3389.88703000 1.76962000
48.0000 3406.83647000 1.76176000
48.0000 3423.87065000 1.75425000
48.0000 3440.99000000 1.74707000
48.0000 3458.19495000 1.74019000
48.0000 3475.48593000 1.73358000
48.0000 3492.86336000 1.72721000
48.0000 3510.32767000 1.72106000
48.0000 3527.87931000 1.71510000
48.0000 3545.51871000 1.70930000
48.0000 3563.24630000 1.70363000
48.0000 3581.06253000 1.69806000
48.0000 3598.96785000 1.69258000
48.0000 3616.96269000 1.68715000
48.0000 3635.04750000 1.68176000
48.0000 3653.22274000 1.67637000
48.0000 3671.48885000 1.67097000
48.0000 3689.84629000 1.66554000
48.0000 3708.29553000 1.66006000
48.0000 3726.83700000 1.65452000
48.0000 3745.47119000 1.64889000
48.0000 3764.19854000 1.64316000
48.0000 3783.01954000 1.63733000
48.0000 3801.93464000 1.63137000
48.0000 3820.94431000 1.62527000
48.0000 3840.04903000 1.61904000
48.0000 3859.24928000 1.61265000
48.0000 3878.54552000 1.60611000
48.0000 3897.93825000 1.59941000
48.0000 3917.42794000 1.59254000
48.0000 3937.01508000 1.58551000
48.0000 3956.70016000 1.57830000
48.0000 3976.48366000 1.57093000
48.0000 3996.36607000 1.56338000
48.0000 4016.34791000 1.55566000
48.0000 4036.42964000 1.54777000
48.0000 4056.61179000 1.53972000
48.0000 4076.89485000 1.53151000
48.0000 4097.27933000 1.52314000
48.0000 4117.76572000 1.51462000
48.0000 4138.35455000 1.50595000
48.0000 4159.04632000 1.49714000
48.0000 4179.84156000 1.48819000
48.0000 4200.74076000 1.47912000
48.0000 4221.74447000 1.46992000
48.0000 4242.85319000 1.46061000
48.0000 4264.06746000 1.45120000
48.0000 4285.38779000 1.44169000
48.0000 4306.81473000 1.43209000
48.0000 4328.34881000 1.42241000
48.0000 4349.99055000 1.41266000
48.0000 4371.74050000 1.40285000
48.0000 4393.59920000 1.39298000
48.0000 4415.56720000 1.38307000
48.0000 4437.64504000 1.37312000
48.0000 4459.83326000 1.36314000
48.0000 4482.13243000 1.35315000
48.0000 4504.54309000 1.34314000
48.0000 4527.06581000 1.33313000
48.0000 4549.70113000 1.32312000
48.0000 4572.44964000 1.31313000
48.0000 4595.31189000 1.30316000
48.0000 4618.28845000 1.29322000
48.0000 4641.37989000 1.28331000
48.0000 4664.58679000 1.27345000
48.0000 4687.90972000 1.26363000
48.0000 4711.34927000 1.25387000
48.0000 4734.90602000 1.24417000
48.0000 4758.58055000 1.23454000
48.0000 4782.37345000 1.22499000
48.0000 4806.28532000 1.21551000
48.0000 4830.31675000 1.20611000
48.0000 4854.46833000 1.19681000
48.0000 4878.74067000 1.18759000
48.0000 4903.13437000 1.17847000
48.0000 4927.65005000 1.16945000
48.0000 4952.28830000 1.16053000
48.0000 4977.04974000 1.15171000
48.0000 5001.93499000 1.14300000
48.0000 5026.94466000 1.13441000
48.0000 5052.07938000 1.12592000
48.0000 5077.33978000 1.11754000
48.0000 5102.72648000 1.10928000
48.0000 5128.24011000 1.10114000
48.0000 5153.88131000 1.09310000
48.0000 5179.65072000 1.08519000
48.0000 5205.54897000 1.07739000
48.0000 5231.57672000 1.06970000
48.0000 5257.73460000 1.06213000
48.0000 5284.02328000 1.05467000
48.0000 5310.44339000 1.04732000
48.0000 5336.99561000 1.04009000
48.0000 5363.68059000 1.03296000
48.0000 5390.49899000 1.02594000
48.0000 5417.45148000 1.01903000
48.0000 5444.53874000 1.01222000
48.0000 5471.76144000 1.00551000
48.0000 5499.12024000 0.99889000
48.0000 5526.61584000 0.99238000
48.0000 5554.24892000 0.98595000
48.0000 5582.02017000 0.97961000
48.0000 5609.93027000 0.97336000
48.0000 5637.97992000 0.96719000
48.0000 5666.16982000 0.96110000
48.0000 5694.50067000 0.95509000
48.0000 5722.97317000 0.94915000
48.0000 5751.58804000 0.94327000
48.0000 5780.34598000 0.93746000
48.0000 5809.24771000 0.93171000
48.0000 5838.29395000 0.92602000
48.0000 5867.48542000 0.92038000
48.0000 5896.82284000 0.91479000
48.0000 5926.30696000 0.90924000
48.0000 5955.93849000 0.90373000
48.0000 5985.71818000 0.89826000
48.0000 6015.64678000 0.89282000
48.0000 6045.72501000 0.88741000
48.0000 6075.95363000 0.88203000
48.0000 6106.33340000 0.87667000
48.0000 6136.86507000 0.87132000
48.0000 6167.54940000 0.86599000
48.0000 6198.38714000 0.86067000
48.0000 6229.37908000 0.85535000
48.0000 6260.52597000 0.85004000
48.0000 6291.82860000 0.84473000
48.0000 6323.28775000 0.83941000
48.0000 6354.90418000 0.83409000
48.0000 6386.67871000 0.82876000
48.0000 6418.61210000 0.82342000
48.0000 6450.70516000 0.81806000
48.0000 6482.95869000 0.81268000
48.0000 6515.37348000 0.80728000
48.0000 6547.95035000 0.80186000
48.0000 6580.69010000 0.79642000
48.0000 6613.59355000 0.79095000
48.0000 6646.66152000 0.78545000
48.0000 6679.89482000 0.77991000
48.0000 6713.29430000 0.77435000
48.0000 6746.86077000 0.76876000
48.0000 6780.59507000 0.76312000
48.0000 6814.49805000 0.75746000
48.0000 6848.57054000 0.75176000
48.0000 6882.81339000 0.74602000
48.0000 6917.22746000 0.74024000
48.0000 6951.81360000 0.73442000
48.0000 6986.57266000 0.72857000
48.0000 7021.50553000 0.72268000
48.0000 7056.61305000 0.71676000
48.0000 7091.89612000 0.71079000
48.0000 7127.35560000 0.70479000
48.0000 7162.99238000 0.69876000
48.0000 7198.80734000 0.69269000
48.0000 7234.80138000 0.68658000
48.0000 7270.97538000 0.68045000
48.0000 7307.33026000 0.67429000
48.0000 7343.86691000 0.66809000
48.0000 7380.58625000 0.66188000
48.0000 7417.48918000 0.65564000
48.0000 7454.57662000 0.64937000
48.0000 7491.84951000 0.64309000
48.0000 7529.30875000 0.63680000
48.0000 7566.95530000 0.63049000
48.0000 7604.79008000 0.62417000
48.0000 7642.81403000 0.61785000
48.0000 7681.02810000 0.61152000
48.0000 7719.43324000 0.60520000
48.0000 7758.03040000 0.59887000
48.0000 7796.82055000 0.59256000
48.0000 7835.80466000 0.58627000
48.0000 7874.98368000 0.57999000
48.0000 7914.35860000 0.57373000
48.0000 7953.93039000 0.56750000
48.0000 7993.70004000 0.56130000
48.0000 8033.66854000 0.55514000
48.0000 8073.83689000 0.54902000
48.0000 8114.20607000 0.54295000
48.0000 8154.77710000 0.53693000
48.0000 8195.55099000 0.53097000
48.0000 8236.52874000 0.52508000
48.0000 8277.71139000 0.51925000
48.0000 8319.09994000 0.51351000
48.0000 8360.69544000 0.50784000
48.0000 8402.49892000 0.50227000
48.0000 8444.51141000 0.49679000
48.0000 8486.73397000 0.49141000
48.0000 8529.16764000 0.48614000
48.0000 8571.81348000 0.48099000
48.0000 8614.67255000 0.47596000
48.0000 8657.74591000 0.47106000
